page,brand_name,product_name,product_link,image_url
1,식물나라,식물나라 가벼운 수분 선 젤 로션 더블 기획_보노보노/일반,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151900&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0015/A00000015190032ko.jpg?l=ko
1,닥터지,[8월 올영픽][톤업선크림/1+1]닥터지 브라이트닝 업 선 플러스 50ml 1+1 카카오프렌즈 콜라보 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208817&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=12,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020881702ko.jpg?l=ko
1,식물나라,[대용량] 식물나라 워터프루프 선 크림 100mL,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151904&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0015/A00000015190405ko.jpg?l=ko
1,구달,[고윤정PICK/1+1기획] 구달 맑은 어성초 진정 무기자차 선크림 50ml 1+1기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182780&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=14,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0018/A00000018278033ko.jpg?l=ko
1,에뛰드,[8월 올영픽]에뛰드 순정 디렉터 수분 선크림 1+1기획(50ml+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163730&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=15,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0016/A00000016373090ko.jpg?l=ko
1,넘버즈인,[쿨링진정] 넘버즈인 1번 청초 진정맑은 물막선크림 50ml+50ml 듀오기획 (SPF50+PA++++),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184352&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=16,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0018/A00000018435214ko.jpg?l=ko
1,닥터지,[8월 올영픽][수분진정선크림/1+1] 닥터지 레드 블레미쉬 수딩 업 선 50ml 1+1 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200635&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=17,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020063508ko.jpg?l=ko
1,구달,[구달X먼작귀][1+1기획] 구달 맑은 어성초 진정 수분 선크림 50ml 1+1기획 (50ml+50ml+스티커),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208120&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020812007ko.jpg?l=ko
1,메이크프렘,[1+1기획] 메이크프렘 유브이 디펜스 미 노세범 무기자차 선크림 40ml+40ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184159&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=19,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0018/A00000018415912ko.jpg?l=ko
1,에스쁘아,[더블기획] 에스쁘아 워터 스플래쉬 선크림 세라마이드 60ml (+60ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202432&dispCatNo=100000100110006&trackingCd=Cat100000100110006_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=20,https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020243204ko.jpg?l=ko
